Batter,REA,RES,PA,OPS,OBP,SLG,AVG,RBI,HR
millb002,39.76688406668997,-47.42778470618268,241,.590,.270,.320,.212,32,7
huffs001,18.03427771134286,-23.86874174167825,132,.675,.303,.372,.240,10,4
culbc001,20.99681384759636,-24.842211832948536,124,.640,.283,.357,.252,12,2
white006,24.055300711613196,-26.38839700644315,117,.579,.274,.305,.200,10,3
sprig001,121.73494339177904,-110.5083549670214,583,.814,.342,.472,.267,76,25
espis001,82.26804656118877,-93.81068288989063,491,.692,.322,.370,.267,51,7
guerv002,137.58833727879474,-126.53843564924988,706,.819,.339,.480,.274,97,32
bichb001,142.1415902587952,-126.92954651401823,697,.802,.333,.469,.290,93,24
chapm001,110.33176317819007,-121.87406391614903,621,.757,.324,.433,.229,76,27
tapir001,76.38538598984994,-81.55800936212475,433,.672,.292,.380,.265,52,7
jansd001,50.55182106450454,-43.85379629619075,248,.855,.339,.516,.260,44,15
lagaj001,3.3927907644633195,-13.079789736835625,62,.460,.210,.250,.183,0,0
gurrl001,85.45864396840527,-85.98264231203903,493,.743,.343,.400,.291,52,5
biggc002,52.18796266119506,-55.227969755971806,303,.668,.318,.350,.202,24,6
zimmb001,14.132387609790731,-27.185968175513377,117,.436,.207,.229,.124,5,2
hernt002,112.35421199226384,-107.2873240594088,535,.807,.316,.491,.267,77,25
kirka001,99.11783090962717,-88.30385470567863,541,.787,.372,.415,.285,63,14
arroc001,54.73771174472064,-70.23619138540779,300,.736,.322,.414,.286,36,6
dever001,135.91368538214036,-112.47679927824949,614,.879,.358,.521,.295,88,27
martj006,111.55706229555241,-134.94746465728593,596,.789,.341,.448,.274,62,16
bogax001,133.73297283926428,-124.54352115078122,631,.833,.377,.456,.307,73,15
verda001,125.98425897012383,-127.01969195565215,644,.733,.328,.405,.280,74,11
stort001,89.37153798887095,-90.78527159164508,396,.737,.303,.434,.238,66,16
cordf003,50.21218589347857,-53.588023254659205,275,.697,.300,.397,.219,29,8
vazqc001,78.33639812781274,-87.5124629489142,426,.714,.315,.399,.274,52,9
bradj001,58.66640774060339,-77.09004196414637,370,.566,.255,.311,.203,38,4
herne001,66.52005565489705,-87.3003763490766,402,.629,.291,.338,.222,45,6
dalbb001,60.05958979565299,-77.54601867426898,353,.652,.283,.369,.215,39,12
plawk001,27.368652673622684,-38.789810814721776,186,.572,.286,.286,.220,13,1
thomd004,1.8412477643781917,-3.338926382066907,14,.377,.286,.091,.091,0,0
arauj001,2.8804979092987364,-7.916028899482194,41,.361,.150,.211,.132,5,1
nimmb001,129.17519454700164,-109.36088626692843,673,.800,.367,.433,.274,64,16
canhm001,110.28965314517559,-93.73591087731778,542,.770,.367,.403,.266,61,13
lindf001,148.9043994169423,-138.5057281155871,706,.788,.339,.449,.270,107,26
alonp001,160.97432716077805,-129.56239657999475,685,.870,.352,.518,.271,131,40
escoe001,96.28575945241086,-119.42610776862061,542,.725,.295,.430,.240,69,20
mcnej002,111.06983377442371,-102.61143716847133,589,.836,.382,.454,.326,62,9
davij006,65.87033379609791,-71.08140435857533,365,.758,.340,.418,.248,35,12
guill001,50.0875161972379,-65.75355739125926,335,.691,.351,.340,.273,17,2
nidot001,46.16321179993405,-64.89726380342765,313,.600,.276,.324,.239,28,3
plumn001,5.284253396645423,-6.461793108532606,31,.573,.194,.379,.138,6,2
lee-k001,2.7398999868403737,-0.11487847542347963,2,2.500,.500,2.000,.500,3,1
mazep001,8.801649989568268,-14.514640190865403,72,.508,.214,.294,.191,6,1
marts002,115.54087809890092,-90.21891289639977,505,.815,.347,.468,.292,63,16
merrw001,103.97619208364722,-106.12457760716704,550,.673,.298,.375,.250,58,11
benia002,93.0091480303234,-91.48860196244051,521,.772,.373,.399,.304,51,5
wittb002,114.77363203990356,-131.8789815578846,632,.722,.294,.428,.254,80,20
peres002,90.19550903756907,-84.12287549877966,473,.757,.292,.465,.254,76,23
melem001,87.66149044899092,-104.16756882555238,534,.706,.313,.393,.217,62,18
dozih001,84.77935344674125,-105.70340425013136,500,.679,.292,.387,.236,41,12
isbek001,40.575155415211476,-66.81896396061936,278,.604,.264,.340,.211,28,5
taylm002,74.57224872347405,-94.03860794459099,456,.670,.313,.357,.254,43,9
lopen001,66.42398083248153,-105.37038612399247,480,.554,.281,.273,.227,20,0
mackd001,7.134745642945935,-12.465650489256841,57,.368,.228,.140,.140,6,0
santc002,90.5511293809854,-87.42095584288963,506,.692,.316,.376,.202,60,19
rivee001,64.87785096722196,-73.56022241035052,359,.701,.292,.409,.233,40,12
gallc001,9.409914755600727,-8.844584889873042,47,.600,.267,.333,.214,5,0
ohear001,26.603733793158675,-29.660278372486214,145,.611,.290,.321,.239,16,1
crawj002,86.52834462017668,-99.56020134665724,603,.675,.339,.336,.243,42,6
rodrj007,119.72027947804669,-91.38018168781268,560,.854,.345,.509,.284,75,28
winkj002,83.96376235398435,-86.84423774413017,547,.688,.344,.344,.219,53,14
suare001,120.26214878389686,-105.55927704299604,629,.791,.332,.459,.236,87,31
